,NAME_CONTRACT_TYPE,NAME_TYPE_SUITE,ORGANIZATION_TYPE,DAYS_EMPLOYED,OWN_CAR_AGE
5279,Revolving loans,Unaccompanied,Business Entity Type 2,-2747,10.0
5280,Cash loans,Unaccompanied,Industry: type 7,-5256,
5281,Cash loans,Unaccompanied,XNA,365243,
5282,Cash loans,Unaccompanied,Self-employed,-873,12.0
5283,Cash loans,Family,Self-employed,-2709,65.0
5284,Cash loans,"Spouse, partner",Kindergarten,-2607,
5285,Cash loans,Family,Transport: type 2,-11246,
5286,Cash loans,Unaccompanied,Business Entity Type 1,-3276,
5287,Cash loans,Family,XNA,365243,
5288,Cash loans,Unaccompanied,Business Entity Type 3,-1129,12.0
5289,Cash loans,Unaccompanied,Business Entity Type 3,-3325,11.0
5290,Cash loans,Unaccompanied,Business Entity Type 2,-135,
5291,Revolving loans,Children,Business Entity Type 3,-1343,11.0
5292,Cash loans,Unaccompanied,Business Entity Type 3,-524,
5293,Cash loans,Unaccompanied,XNA,365243,
5294,Cash loans,Family,Other,-1209,2.0
5295,Cash loans,Unaccompanied,Legal Services,-9823,
5296,Cash loans,Unaccompanied,XNA,365243,14.0
5297,Cash loans,Unaccompanied,XNA,365243,
5298,Cash loans,Unaccompanied,XNA,365243,
5299,Cash loans,Family,XNA,365243,24.0
5300,Cash loans,Unaccompanied,Agriculture,-459,
5301,Cash loans,"Spouse, partner",Self-employed,-4175,12.0
5302,Cash loans,Unaccompanied,XNA,365243,
5303,Cash loans,Unaccompanied,Business Entity Type 3,-1737,
5304,Cash loans,,XNA,365243,
5305,Cash loans,Unaccompanied,Trade: type 3,-336,33.0
5306,Cash loans,Unaccompanied,Kindergarten,-1018,8.0
5307,Cash loans,Family,XNA,365243,
5308,Cash loans,Unaccompanied,Kindergarten,-5333,
5309,Cash loans,"Spouse, partner",Security Ministries,-4398,
5310,Cash loans,Unaccompanied,Business Entity Type 3,-996,
5311,Cash loans,Unaccompanied,Agriculture,-1608,17.0
5312,Cash loans,Unaccompanied,Government,-8033,
5313,Cash loans,Unaccompanied,School,-5131,
5314,Cash loans,"Spouse, partner",Self-employed,-457,
5315,Revolving loans,Unaccompanied,Business Entity Type 2,-248,
5316,Cash loans,Unaccompanied,Other,-6966,
5317,Cash loans,Unaccompanied,Self-employed,-499,20.0
5318,Cash loans,Unaccompanied,Postal,-5145,42.0
5319,Cash loans,Family,Business Entity Type 3,-248,
5320,Cash loans,Unaccompanied,Business Entity Type 2,-750,
5321,Cash loans,Unaccompanied,Medicine,-2993,
5322,Cash loans,Unaccompanied,Trade: type 7,-1070,
5323,Cash loans,Unaccompanied,Business Entity Type 3,-3779,
5324,Cash loans,"Spouse, partner",Services,-164,4.0
5325,Cash loans,Unaccompanied,XNA,365243,
5326,Cash loans,Unaccompanied,Agriculture,-5545,
5327,Cash loans,Unaccompanied,Self-employed,-2197,4.0
5328,Cash loans,Unaccompanied,Medicine,-11725,
5329,Cash loans,Unaccompanied,Self-employed,-1862,
5330,Cash loans,Unaccompanied,Government,-5868,10.0
5331,Cash loans,Unaccompanied,Kindergarten,-2001,
5332,Cash loans,Unaccompanied,Business Entity Type 3,-229,
5333,Cash loans,Unaccompanied,University,-13538,
5334,Cash loans,Unaccompanied,XNA,365243,
5335,Cash loans,Unaccompanied,Self-employed,-845,
5336,Cash loans,Family,XNA,365243,
5337,Cash loans,Unaccompanied,Self-employed,-2316,
5338,Cash loans,Unaccompanied,Transport: type 4,-508,16.0
5339,Cash loans,Unaccompanied,Trade: type 7,-4430,
5340,Cash loans,Unaccompanied,Military,-2852,10.0
5341,Cash loans,Unaccompanied,Military,-7683,
5342,Cash loans,Unaccompanied,XNA,365243,2.0
5343,Cash loans,Unaccompanied,Other,-4483,
5344,Cash loans,Unaccompanied,Business Entity Type 3,-1226,
5345,Cash loans,Unaccompanied,Business Entity Type 3,-2933,
5346,Cash loans,Family,Self-employed,-2355,
5347,Cash loans,Unaccompanied,XNA,365243,5.0
5348,Cash loans,Unaccompanied,Industry: type 9,-3869,1.0
5349,Revolving loans,Unaccompanied,University,-3855,1.0
5350,Cash loans,Family,Other,-862,28.0
5351,Cash loans,Unaccompanied,Business Entity Type 3,-1655,2.0
5352,Cash loans,Unaccompanied,Other,-7661,
5353,Cash loans,"Spouse, partner",School,-907,
5354,Cash loans,Unaccompanied,Business Entity Type 1,-1645,13.0
5355,Cash loans,Unaccompanied,XNA,365243,
5356,Revolving loans,Family,Self-employed,-4572,
5357,Cash loans,Unaccompanied,Self-employed,-3083,
5358,Revolving loans,Family,Medicine,-5649,
5359,Cash loans,Unaccompanied,Business Entity Type 3,-1489,
5360,Cash loans,Unaccompanied,Self-employed,-3358,
5361,Cash loans,Unaccompanied,Construction,-311,
5362,Cash loans,Unaccompanied,Business Entity Type 2,-1093,
5363,Revolving loans,Family,Business Entity Type 3,-253,
5364,Cash loans,Unaccompanied,XNA,365243,
5365,Cash loans,Unaccompanied,Transport: type 2,-3302,
5366,Cash loans,Unaccompanied,Security Ministries,-4179,
5367,Cash loans,Unaccompanied,Business Entity Type 3,-1133,
5368,Cash loans,Unaccompanied,Other,-960,
5369,Cash loans,Unaccompanied,Self-employed,-416,
5370,Cash loans,Unaccompanied,Self-employed,-3723,
5371,Cash loans,Unaccompanied,Agriculture,-4807,
5372,Revolving loans,Unaccompanied,University,-276,15.0
5373,Revolving loans,Unaccompanied,XNA,365243,
5374,Cash loans,Unaccompanied,Business Entity Type 3,-2198,
5375,Cash loans,Unaccompanied,Business Entity Type 3,-1479,
5376,Cash loans,Unaccompanied,XNA,365243,
5377,Cash loans,Unaccompanied,Business Entity Type 3,-1919,
5378,Cash loans,Unaccompanied,Hotel,-2487,
5379,Cash loans,Unaccompanied,Business Entity Type 3,-3133,19.0
5380,Cash loans,Unaccompanied,XNA,365243,
5381,Cash loans,Family,Self-employed,-984,2.0
5382,Cash loans,Unaccompanied,XNA,365243,
5383,Cash loans,Family,Other,-1840,
5384,Cash loans,Unaccompanied,Kindergarten,-165,14.0
5385,Cash loans,Family,Business Entity Type 3,-3135,
5386,Cash loans,Unaccompanied,Bank,-487,5.0
5387,Cash loans,Unaccompanied,Self-employed,-1188,
5388,Cash loans,Unaccompanied,Kindergarten,-3927,
5389,Cash loans,Unaccompanied,Construction,-1689,12.0
5390,Revolving loans,Unaccompanied,Business Entity Type 3,-5214,
5391,Cash loans,Unaccompanied,Trade: type 3,-332,
5392,Cash loans,Unaccompanied,Trade: type 2,-484,
5393,Cash loans,Unaccompanied,School,-275,
5394,Cash loans,Unaccompanied,XNA,365243,
5395,Cash loans,Unaccompanied,Other,-854,28.0
5396,Cash loans,Family,Other,-1918,
5397,Cash loans,Unaccompanied,Government,-446,3.0
5398,Cash loans,Unaccompanied,Industry: type 3,-977,
5399,Cash loans,Unaccompanied,Other,-1288,
5400,Revolving loans,Unaccompanied,Bank,-128,
5401,Cash loans,Unaccompanied,Business Entity Type 3,-184,
5402,Cash loans,Unaccompanied,Business Entity Type 3,-2158,2.0
5403,Cash loans,Family,XNA,365243,
5404,Cash loans,Unaccompanied,Business Entity Type 3,-1126,
5405,Cash loans,Unaccompanied,Restaurant,-663,
5406,Cash loans,Unaccompanied,School,-2626,
5407,Cash loans,Unaccompanied,Medicine,-3777,
5408,Cash loans,Unaccompanied,Self-employed,-2470,
5409,Cash loans,Unaccompanied,Cleaning,-154,
5410,Cash loans,"Spouse, partner",Self-employed,-2510,3.0
5411,Cash loans,Unaccompanied,Business Entity Type 3,-3342,23.0
5412,Cash loans,Unaccompanied,Self-employed,-128,
5413,Cash loans,Unaccompanied,XNA,365243,
5414,Cash loans,Unaccompanied,Other,-1729,6.0
5415,Cash loans,Unaccompanied,Medicine,-6321,
5416,Revolving loans,Unaccompanied,Government,-2725,
5417,Cash loans,Unaccompanied,XNA,365243,
5418,Revolving loans,Unaccompanied,Business Entity Type 3,-1546,2.0
5419,Cash loans,Unaccompanied,Kindergarten,-10243,
5420,Cash loans,"Spouse, partner",Housing,-403,13.0
5421,Cash loans,Unaccompanied,Self-employed,-647,
5422,Cash loans,Unaccompanied,Industry: type 9,-170,14.0
5423,Cash loans,"Spouse, partner",Housing,-1185,6.0
5424,Cash loans,Unaccompanied,Business Entity Type 3,-1656,6.0
5425,Cash loans,Unaccompanied,Services,-6325,
5426,Cash loans,Unaccompanied,Agriculture,-6301,
5427,Cash loans,Family,Kindergarten,-1460,
5428,Cash loans,Unaccompanied,XNA,365243,
5429,Cash loans,Unaccompanied,Trade: type 3,-1751,6.0
5430,Cash loans,Unaccompanied,Business Entity Type 3,-313,
5431,Cash loans,Unaccompanied,Industry: type 11,-4151,10.0
5432,Cash loans,Unaccompanied,Other,-745,
5433,Cash loans,Unaccompanied,Business Entity Type 3,-7931,2.0
5434,Cash loans,Unaccompanied,Other,-4736,
5435,Cash loans,Unaccompanied,XNA,365243,
5436,Cash loans,Unaccompanied,Trade: type 7,-2483,14.0
5437,Cash loans,Unaccompanied,Self-employed,-677,
5438,Cash loans,Unaccompanied,Business Entity Type 3,-1709,
5439,Cash loans,Unaccompanied,Industry: type 1,-6271,
5440,Cash loans,Family,Business Entity Type 2,-5494,
5441,Cash loans,Unaccompanied,Construction,-112,
5442,Cash loans,Unaccompanied,Business Entity Type 2,-3481,
5443,Revolving loans,Unaccompanied,Business Entity Type 3,-1056,13.0
5444,Cash loans,Family,School,-7906,
5445,Cash loans,Family,Self-employed,-1641,
5446,Cash loans,Unaccompanied,Police,-3158,2.0
5447,Cash loans,Unaccompanied,Business Entity Type 3,-1817,
5448,Cash loans,Unaccompanied,Business Entity Type 3,-388,
5449,Revolving loans,Family,Business Entity Type 3,-1611,3.0
5450,Cash loans,Family,XNA,365243,
5451,Cash loans,Unaccompanied,Construction,-191,4.0
5452,Cash loans,Unaccompanied,Industry: type 1,-2946,
5453,Cash loans,Unaccompanied,XNA,365243,
5454,Cash loans,Unaccompanied,Business Entity Type 3,-425,14.0
5455,Cash loans,Unaccompanied,Business Entity Type 3,-1537,64.0
5456,Cash loans,Unaccompanied,Self-employed,-883,8.0
5457,Cash loans,"Spouse, partner",Business Entity Type 3,-826,
5458,Cash loans,Unaccompanied,Agriculture,-422,
5459,Cash loans,Unaccompanied,Security,-2991,22.0
5460,Cash loans,"Spouse, partner",Other,-2585,
5461,Cash loans,Unaccompanied,Government,-6185,
5462,Cash loans,Unaccompanied,Kindergarten,-3119,8.0
5463,Cash loans,Unaccompanied,Business Entity Type 3,-946,15.0
5464,Cash loans,Unaccompanied,Industry: type 7,-2756,
5465,Cash loans,"Spouse, partner",Housing,-448,
5466,Cash loans,Family,Postal,-2061,
5467,Cash loans,Unaccompanied,Business Entity Type 3,-6620,8.0
5468,Cash loans,Unaccompanied,Business Entity Type 3,-1359,
5469,Cash loans,Unaccompanied,Self-employed,-1392,
5470,Cash loans,Unaccompanied,Services,-2631,
5471,Revolving loans,Unaccompanied,Business Entity Type 2,-6101,
5472,Cash loans,Unaccompanied,Government,-1494,
5473,Cash loans,Unaccompanied,Self-employed,-354,
5474,Cash loans,Unaccompanied,Trade: type 7,-633,
5475,Cash loans,Unaccompanied,XNA,365243,
5476,Cash loans,Unaccompanied,Industry: type 9,-1299,3.0
5477,Cash loans,Unaccompanied,Electricity,-4929,
5478,Cash loans,Unaccompanied,Business Entity Type 3,-1262,7.0
5479,Cash loans,Family,Housing,-5803,
5480,Cash loans,Family,Self-employed,-6425,
5481,Revolving loans,Unaccompanied,Business Entity Type 3,-353,40.0
5482,Cash loans,Unaccompanied,Self-employed,-650,
5483,Cash loans,Unaccompanied,School,-4383,
5484,Cash loans,Unaccompanied,Business Entity Type 3,-1919,
5485,Cash loans,Unaccompanied,Business Entity Type 3,-343,3.0
5486,Cash loans,"Spouse, partner",Industry: type 3,-5957,
5487,Cash loans,Unaccompanied,Industry: type 7,-997,
5488,Cash loans,Unaccompanied,Electricity,-10624,65.0
5489,Revolving loans,Other_A,Business Entity Type 3,-922,6.0
5490,Revolving loans,Family,Government,-260,
5491,Cash loans,Unaccompanied,Self-employed,-854,9.0
5492,Cash loans,Unaccompanied,Business Entity Type 3,-3255,5.0
5493,Cash loans,Unaccompanied,Medicine,-2603,
5494,Cash loans,Unaccompanied,Trade: type 3,-1832,
5495,Cash loans,Unaccompanied,Self-employed,-1295,7.0
5496,Revolving loans,Family,Other,-4450,14.0
5497,Cash loans,Unaccompanied,Security,-845,16.0
5498,Cash loans,Unaccompanied,Business Entity Type 3,-2900,14.0
5499,Cash loans,Unaccompanied,Business Entity Type 3,-1678,
5500,Cash loans,Unaccompanied,Self-employed,-221,64.0
5501,Cash loans,Unaccompanied,Government,-2798,
5502,Cash loans,Unaccompanied,Government,-7988,
5503,Revolving loans,Unaccompanied,Other,-241,10.0
5504,Cash loans,Unaccompanied,XNA,365243,10.0
5505,Cash loans,Unaccompanied,XNA,365243,
5506,Revolving loans,Unaccompanied,XNA,365243,
5507,Cash loans,Unaccompanied,Self-employed,-1470,
5508,Cash loans,Unaccompanied,XNA,365243,
5509,Revolving loans,Family,Self-employed,-532,
5510,Cash loans,Unaccompanied,Business Entity Type 2,-1267,23.0
5511,Cash loans,Unaccompanied,Business Entity Type 2,-625,
5512,Cash loans,Unaccompanied,XNA,365243,
5513,Cash loans,Unaccompanied,XNA,365243,
5514,Cash loans,Unaccompanied,Other,-1511,6.0
5515,Cash loans,Unaccompanied,Government,-1845,
5516,Cash loans,Unaccompanied,Self-employed,-201,
5517,Cash loans,Unaccompanied,Medicine,-7429,
5518,Revolving loans,Unaccompanied,Trade: type 3,-312,
5519,Cash loans,Unaccompanied,Medicine,-2218,
5520,Cash loans,Unaccompanied,Business Entity Type 3,-3367,
5521,Cash loans,Unaccompanied,Housing,-556,
5522,Cash loans,Unaccompanied,School,-7260,
5523,Cash loans,Unaccompanied,XNA,365243,7.0
5524,Cash loans,Family,XNA,365243,27.0
5525,Cash loans,Family,XNA,365243,
5526,Cash loans,Unaccompanied,XNA,365243,
5527,Cash loans,Unaccompanied,Medicine,-1868,9.0
5528,Cash loans,Family,Kindergarten,-1130,
5529,Cash loans,Unaccompanied,Other,-1373,64.0
5530,Cash loans,Family,Self-employed,-670,17.0
5531,Cash loans,Unaccompanied,Trade: type 2,-2476,2.0
5532,Cash loans,Unaccompanied,Government,-2564,
5533,Cash loans,Family,Self-employed,-2472,
5534,Cash loans,Unaccompanied,School,-2075,
5535,Cash loans,Unaccompanied,XNA,365243,
5536,Cash loans,Unaccompanied,XNA,365243,
5537,Cash loans,Unaccompanied,Business Entity Type 2,-3486,
5538,Cash loans,Family,Self-employed,-7857,
5539,Revolving loans,Family,Self-employed,-4908,19.0
5540,Cash loans,Unaccompanied,XNA,365243,
5541,Cash loans,Unaccompanied,Business Entity Type 3,-3069,7.0
5542,Cash loans,Unaccompanied,Medicine,-3542,22.0
5543,Cash loans,Unaccompanied,XNA,365243,
5544,Cash loans,Unaccompanied,Kindergarten,-209,
5545,Cash loans,Unaccompanied,Business Entity Type 2,-4572,
5546,Cash loans,Unaccompanied,XNA,365243,
5547,Cash loans,Unaccompanied,Self-employed,-1824,13.0
5548,Cash loans,Unaccompanied,XNA,365243,
5549,Cash loans,Unaccompanied,Business Entity Type 3,-459,
5550,Cash loans,"Spouse, partner",Trade: type 3,-991,10.0
5551,Revolving loans,Unaccompanied,Government,-1610,
5552,Cash loans,Unaccompanied,Housing,-2527,
5553,Cash loans,Unaccompanied,Business Entity Type 1,-2785,
5554,Cash loans,Unaccompanied,XNA,365243,
5555,Cash loans,Unaccompanied,Business Entity Type 3,-2274,7.0
5556,Cash loans,Unaccompanied,Self-employed,-1050,
5557,Cash loans,Unaccompanied,Kindergarten,-5565,
5558,Cash loans,Unaccompanied,Construction,-1776,
5559,Revolving loans,Unaccompanied,Government,-1502,8.0
5560,Cash loans,Unaccompanied,XNA,365243,
5561,Cash loans,Unaccompanied,XNA,365243,
5562,Cash loans,Unaccompanied,XNA,365243,8.0
5563,Cash loans,Unaccompanied,Self-employed,-1006,
5564,Cash loans,Family,Other,-7702,25.0
5565,Revolving loans,Family,Kindergarten,-2455,
5566,Revolving loans,Family,XNA,365243,
5567,Cash loans,"Spouse, partner",Self-employed,-2094,
5568,Revolving loans,Unaccompanied,Business Entity Type 3,-865,
5569,Revolving loans,Unaccompanied,Trade: type 2,-219,1.0
5570,Cash loans,Unaccompanied,XNA,365243,
5571,Cash loans,Unaccompanied,Business Entity Type 3,-3507,2.0
5572,Revolving loans,Unaccompanied,Business Entity Type 3,-212,8.0
5573,Cash loans,Unaccompanied,Business Entity Type 3,-536,
5574,Cash loans,Unaccompanied,Business Entity Type 3,-996,5.0
5575,Cash loans,Unaccompanied,Other,-932,
5576,Cash loans,"Spouse, partner",Business Entity Type 3,-394,
5577,Cash loans,Unaccompanied,XNA,365243,
5578,Cash loans,Unaccompanied,Services,-1825,
5579,Cash loans,Unaccompanied,XNA,365243,18.0
5580,Revolving loans,Unaccompanied,Government,-2603,9.0
5581,Cash loans,Unaccompanied,Business Entity Type 3,-3694,13.0
5582,Cash loans,Unaccompanied,School,-2358,
5583,Cash loans,Unaccompanied,Self-employed,-1751,3.0
5584,Cash loans,Family,XNA,365243,15.0
5585,Cash loans,Unaccompanied,Business Entity Type 3,-382,
5586,Cash loans,Children,Business Entity Type 3,-1708,
5587,Cash loans,Family,Business Entity Type 3,-2840,13.0
5588,Cash loans,Unaccompanied,Business Entity Type 3,-215,
5589,Cash loans,Unaccompanied,Services,-1861,13.0
5590,Cash loans,Unaccompanied,Trade: type 3,-959,
5591,Cash loans,Unaccompanied,Industry: type 9,-167,
5592,Cash loans,Family,XNA,365243,14.0
5593,Cash loans,Unaccompanied,Kindergarten,-1687,7.0
5594,Cash loans,Unaccompanied,XNA,365243,
5595,Cash loans,Unaccompanied,Medicine,-2712,
5596,Cash loans,Unaccompanied,School,-3818,
5597,Cash loans,Unaccompanied,Self-employed,-660,
5598,Cash loans,Unaccompanied,Business Entity Type 1,-464,
5599,Cash loans,Unaccompanied,Culture,-5591,1.0
5600,Cash loans,Unaccompanied,Business Entity Type 3,-1341,
5601,Revolving loans,Unaccompanied,Self-employed,-1475,1.0
5602,Cash loans,Unaccompanied,Business Entity Type 2,-8766,
5603,Revolving loans,Unaccompanied,Culture,-504,
5604,Cash loans,Unaccompanied,Transport: type 4,-3332,
5605,Cash loans,Unaccompanied,Government,-4742,
5606,Revolving loans,Unaccompanied,Business Entity Type 3,-473,
5607,Cash loans,Unaccompanied,Business Entity Type 3,-1463,5.0
5608,Cash loans,Unaccompanied,Business Entity Type 1,-3000,
5609,Cash loans,Unaccompanied,Business Entity Type 3,-426,
5610,Cash loans,Unaccompanied,Other,-2259,
5611,Revolving loans,Unaccompanied,Industry: type 11,-3419,
5612,Cash loans,Unaccompanied,School,-12927,
5613,Cash loans,Unaccompanied,Business Entity Type 3,-3091,
5614,Cash loans,Unaccompanied,Business Entity Type 3,-3824,
5615,Cash loans,Unaccompanied,Bank,-835,
5616,Cash loans,Unaccompanied,Medicine,-12269,
5617,Cash loans,Unaccompanied,Other,-1576,64.0
5618,Cash loans,Unaccompanied,Bank,-331,2.0
5619,Cash loans,Unaccompanied,Police,-1826,3.0
5620,Cash loans,Family,Transport: type 4,-7862,10.0
5621,Cash loans,Family,Kindergarten,-1187,
5622,Cash loans,Unaccompanied,Self-employed,-975,
5623,Cash loans,Family,Business Entity Type 3,-149,6.0
5624,Revolving loans,Unaccompanied,Business Entity Type 3,-3150,
5625,Cash loans,Unaccompanied,Security Ministries,-6075,
5626,Cash loans,Unaccompanied,Self-employed,-802,
5627,Cash loans,Unaccompanied,XNA,365243,
5628,Cash loans,Unaccompanied,Self-employed,-7697,13.0
5629,Cash loans,Unaccompanied,Self-employed,-627,14.0
5630,Cash loans,Unaccompanied,Self-employed,-2303,3.0
5631,Cash loans,Family,Other,-5227,
5632,Revolving loans,Unaccompanied,XNA,365243,
5633,Revolving loans,Unaccompanied,Housing,-1347,
5634,Cash loans,Unaccompanied,Business Entity Type 3,-582,6.0
5635,Cash loans,Unaccompanied,Military,-1037,
5636,Cash loans,Unaccompanied,Industry: type 9,-3016,38.0
5637,Cash loans,Unaccompanied,School,-5199,
5638,Cash loans,Family,Medicine,-1995,
5639,Cash loans,Unaccompanied,Other,-1830,
5640,Cash loans,Unaccompanied,XNA,365243,
5641,Cash loans,Unaccompanied,Trade: type 7,-2806,
5642,Cash loans,Children,Construction,-1361,8.0
5643,Cash loans,Unaccompanied,Business Entity Type 3,-1038,
5644,Cash loans,Unaccompanied,Industry: type 11,-13357,
5645,Cash loans,Unaccompanied,Business Entity Type 1,-3966,
5646,Cash loans,Children,Business Entity Type 3,-920,65.0
5647,Cash loans,Family,Kindergarten,-2892,
5648,Cash loans,Family,School,-2400,3.0
5649,Cash loans,Family,Business Entity Type 3,-1113,7.0
5650,Cash loans,Family,Kindergarten,-380,
5651,Cash loans,Unaccompanied,Self-employed,-1117,
5652,Cash loans,Unaccompanied,Self-employed,-5544,
5653,Cash loans,Unaccompanied,XNA,365243,
5654,Cash loans,Unaccompanied,School,-1174,
5655,Cash loans,Family,Self-employed,-5208,11.0
5656,Cash loans,Unaccompanied,Self-employed,-912,3.0
5657,Cash loans,Unaccompanied,XNA,365243,
5658,Cash loans,Unaccompanied,Self-employed,-1386,
5659,Cash loans,Unaccompanied,Business Entity Type 3,-2363,19.0
5660,Cash loans,Unaccompanied,XNA,365243,18.0
5661,Revolving loans,Unaccompanied,Police,-4148,0.0
5662,Cash loans,Unaccompanied,Business Entity Type 3,-1855,
5663,Cash loans,Unaccompanied,Business Entity Type 3,-640,
5664,Cash loans,Unaccompanied,Other,-5156,
5665,Cash loans,Unaccompanied,Trade: type 5,-196,
5666,Cash loans,Unaccompanied,XNA,365243,
5667,Cash loans,Unaccompanied,Postal,-4622,
5668,Cash loans,Unaccompanied,XNA,365243,
5669,Cash loans,Unaccompanied,Other,-1660,
5670,Cash loans,Unaccompanied,XNA,365243,
5671,Cash loans,Unaccompanied,XNA,365243,
5672,Cash loans,Family,Transport: type 2,-5268,4.0
5673,Cash loans,Unaccompanied,Business Entity Type 3,-546,64.0
5674,Cash loans,Children,Other,-3712,
5675,Cash loans,Family,Self-employed,-2843,15.0
5676,Revolving loans,Unaccompanied,Business Entity Type 1,-1662,2.0
5677,Revolving loans,Unaccompanied,School,-1438,
5678,Cash loans,Unaccompanied,Business Entity Type 3,-6032,22.0
5679,Cash loans,Unaccompanied,Kindergarten,-2257,
5680,Cash loans,Unaccompanied,Business Entity Type 2,-6897,
5681,Cash loans,Unaccompanied,Business Entity Type 3,-1053,
5682,Cash loans,Unaccompanied,School,-2526,16.0
5683,Cash loans,Family,Transport: type 2,-1986,
5684,Cash loans,Unaccompanied,Business Entity Type 3,-5528,13.0
5685,Cash loans,Unaccompanied,XNA,365243,14.0
5686,Cash loans,Unaccompanied,Kindergarten,-1229,
5687,Cash loans,Unaccompanied,Business Entity Type 3,-10422,
5688,Revolving loans,Unaccompanied,Government,-1933,
5689,Cash loans,Family,Trade: type 7,-391,
5690,Cash loans,Unaccompanied,Business Entity Type 3,-1873,7.0
5691,Cash loans,Unaccompanied,Other,-223,
5692,Cash loans,Family,Medicine,-3142,
5693,Revolving loans,Unaccompanied,Agriculture,-834,0.0
5694,Cash loans,Unaccompanied,Business Entity Type 3,-4478,
5695,Cash loans,Unaccompanied,Business Entity Type 2,-2769,11.0
5696,Revolving loans,Unaccompanied,Business Entity Type 3,-1989,
5697,Revolving loans,Unaccompanied,XNA,365243,5.0
5698,Cash loans,Unaccompanied,Security,-571,
5699,Cash loans,Unaccompanied,Construction,-2314,
5700,Cash loans,Children,XNA,365243,
5701,Cash loans,Unaccompanied,XNA,365243,2.0
5702,Cash loans,Unaccompanied,Trade: type 1,-1060,
5703,Cash loans,Unaccompanied,Business Entity Type 2,-1339,15.0
5704,Cash loans,Unaccompanied,Business Entity Type 3,-2527,4.0
5705,Cash loans,Unaccompanied,Medicine,-110,
5706,Cash loans,Unaccompanied,Other,-5408,12.0
5707,Cash loans,Unaccompanied,Self-employed,-1543,
5708,Cash loans,Unaccompanied,Military,-2116,
5709,Cash loans,Unaccompanied,Business Entity Type 2,-2841,
5710,Cash loans,Unaccompanied,Business Entity Type 3,-135,
5711,Cash loans,Family,Transport: type 4,-161,
5712,Cash loans,Unaccompanied,Trade: type 7,-1244,
5713,Cash loans,Unaccompanied,Self-employed,-1100,
5714,Cash loans,Unaccompanied,Other,-4294,12.0
5715,Cash loans,Unaccompanied,XNA,365243,
5716,Cash loans,Unaccompanied,XNA,365243,
5717,Cash loans,Unaccompanied,Construction,-909,7.0
5718,Revolving loans,Unaccompanied,Other,-1352,
5719,Cash loans,Unaccompanied,Self-employed,-7555,6.0
5720,Cash loans,Unaccompanied,Business Entity Type 3,-1791,
5721,Cash loans,Unaccompanied,XNA,365243,
5722,Cash loans,Unaccompanied,Business Entity Type 3,-3067,
5723,Cash loans,Unaccompanied,Business Entity Type 3,-1245,
5724,Cash loans,Unaccompanied,Business Entity Type 3,-233,
5725,Cash loans,Unaccompanied,Industry: type 3,-2596,
5726,Cash loans,Unaccompanied,Business Entity Type 3,-4742,
5727,Cash loans,Family,Kindergarten,-1408,
5728,Cash loans,Unaccompanied,Cleaning,-439,1.0
5729,Cash loans,Unaccompanied,Other,-1068,9.0
5730,Revolving loans,Unaccompanied,Construction,-458,0.0
5731,Cash loans,Unaccompanied,Government,-297,5.0
5732,Cash loans,Unaccompanied,Business Entity Type 3,-3171,8.0
5733,Cash loans,Unaccompanied,Kindergarten,-5152,15.0
5734,Cash loans,Unaccompanied,Business Entity Type 3,-1746,1.0
5735,Cash loans,Unaccompanied,Medicine,-4658,12.0
5736,Cash loans,Unaccompanied,Other,-5368,
5737,Cash loans,Unaccompanied,Business Entity Type 3,-311,
5738,Cash loans,Unaccompanied,Government,-378,1.0
5739,Cash loans,Unaccompanied,Business Entity Type 2,-1012,
5740,Cash loans,Unaccompanied,Telecom,-1648,
5741,Revolving loans,Unaccompanied,Police,-925,
5742,Cash loans,Unaccompanied,Self-employed,-243,16.0
5743,Cash loans,Unaccompanied,Restaurant,-2893,
5744,Revolving loans,Unaccompanied,Business Entity Type 3,-3405,4.0
5745,Cash loans,Unaccompanied,Other,-12715,
5746,Cash loans,Unaccompanied,Business Entity Type 1,-423,
5747,Cash loans,Unaccompanied,XNA,365243,
5748,Cash loans,Unaccompanied,Self-employed,-1075,
5749,Cash loans,Family,Self-employed,-1641,
5750,Cash loans,Unaccompanied,Business Entity Type 3,-687,
5751,Cash loans,Unaccompanied,School,-7081,
5752,Cash loans,Unaccompanied,Trade: type 3,-2019,
5753,Cash loans,Unaccompanied,Self-employed,-1074,
5754,Cash loans,Unaccompanied,Self-employed,-384,
5755,Cash loans,Unaccompanied,XNA,365243,
5756,Cash loans,Unaccompanied,Other,-412,6.0
5757,Cash loans,Unaccompanied,XNA,365243,
5758,Cash loans,Unaccompanied,Construction,-2926,8.0
5759,Cash loans,Unaccompanied,Business Entity Type 2,-4397,
5760,Cash loans,Unaccompanied,Business Entity Type 3,-121,15.0
5761,Cash loans,Family,Business Entity Type 3,-4124,
5762,Cash loans,Unaccompanied,Self-employed,-4199,17.0
5763,Cash loans,Unaccompanied,Other,-114,
5764,Cash loans,Unaccompanied,Housing,-3250,
5765,Cash loans,Family,Government,-2176,
5766,Cash loans,Unaccompanied,Other,-1128,64.0
5767,Cash loans,Unaccompanied,XNA,365243,
5768,Cash loans,Unaccompanied,Self-employed,-369,10.0
5769,Cash loans,Unaccompanied,XNA,365243,12.0
5770,Cash loans,Unaccompanied,Business Entity Type 3,-1478,
5771,Cash loans,Unaccompanied,Other,-3389,
5772,Cash loans,"Spouse, partner",Housing,-2928,
